Date,Open,High,Low,Close,Volume
6/14/2013,15.55,15.5818,15.3036,15.3589,272083916
6/17/2013,15.4086,15.5607,15.37,15.4286,259442012
6/18/2013,15.4128,15.5321,15.3646,15.4203,195161956
6/19/2013,15.4071,15.4164,15.1071,15.1071,311031420
6/20/2013,14.975,15.2136,14.8275,14.8871,357498560
6/21/2013,14.9461,15,14.575,14.7678,481249696
6/24/2013,14.55,14.595,14.2161,14.3764,480746144
6/25/2013,14.4893,14.5639,14.2439,14.3796,314339456
6/26/2013,14.425,14.4568,14.1307,14.2168,367946628
6/27/2013,14.2589,14.3353,14.055,14.0636,337400560
6/28/2013,13.9771,14.2953,13.8882,14.1618,578638272
7/1/2013,14.3818,14.7239,14.3293,14.615,391172540
7/2/2013,14.6414,15.0582,14.6239,14.9461,470086868
7/3/2013,15.0307,15.1064,14.9089,15.0286,240928872
7/5/2013,15.0139,15.1175,14.8339,14.9078,274083312
7/8/2013,15.0039,15.0357,14.6661,14.8232,298313948
7/9/2013,14.7714,15.125,14.6564,15.0839,352689332
7/10/2013,14.9857,15.1714,14.9375,15.0261,281403556
7/11/2013,15.1053,15.2946,15.0418,15.2603,326476180
7/12/2013,15.2732,15.3496,15.1218,15.2325,279642184
7/15/2013,15.1789,15.4093,15.1714,15.2657,242172688
7/16/2013,15.2328,15.3825,15.1489,15.3641,216537656
7/17/2013,15.3464,15.4364,15.2936,15.3682,199056452
7/18/2013,15.4778,15.5311,15.3789,15.4199,219043460
7/19/2013,15.4678,15.4993,15.1553,15.1768,268779156
7/22/2013,15.3378,15.3482,15.1953,15.2253,207990560
7/23/2013,15.2143,15.2486,14.9539,14.9639,369393980
7/24/2013,15.6761,15.8782,15.545,15.7325,592055888
7/25/2013,15.7393,15.7643,15.5646,15.6607,229682800
7/26/2013,15.5464,15.7514,15.5121,15.7496,200275240
7/29/2013,15.7428,16.0711,15.7214,15.9925,248441392
7/30/2013,16.07,16.3268,16.0439,16.19,309422624
7/31/2013,16.2496,16.3336,16.0511,16.1618,322957668
8/1/2013,16.2769,16.3143,16.1878,16.3098,206249520
8/2/2013,16.3575,16.5303,16.3093,16.5193,274781548
8/5/2013,16.5961,16.8096,16.5053,16.7661,318854684
8/6/2013,16.715,16.8532,16.5061,16.6161,334914464
8/7/2013,16.5643,16.6786,16.4918,16.6064,298856224
8/8/2013,16.5662,16.575,16.3553,16.4646,255999660
8/9/2013,16.38,16.445,16.2018,16.2303,267621100
8/12/2013,16.3164,16.7375,16.3082,16.6914,364433496
8/13/2013,16.8193,17.6664,16.7161,17.4846,881940400
8/14/2013,17.7814,18.0089,17.6214,17.8036,756372596
8/15/2013,17.7293,17.9428,17.4672,17.7825,490294376
8/16/2013,17.8625,17.9621,17.8164,17.9403,362303728
8/19/2013,18.0121,18.3478,18,18.1336,510518460
8/20/2013,18.2039,18.2346,17.8864,17.8953,358687356
8/21/2013,17.9853,18.1125,17.9,17.9414,335877496
8/22/2013,18.035,18.0568,17.7928,17.9628,244206948
8/23/2013,17.9739,17.9768,17.8339,17.8936,222729076
8/26/2013,17.8839,18.2214,17.875,17.9632,330964472
8/27/2013,17.7857,17.9468,17.3678,17.4496,424188832
8/28/2013,17.3571,17.7071,17.3571,17.532,307606988
8/29/2013,17.5589,17.7321,17.5403,17.5607,239655092
8/30/2013,17.5714,17.6053,17.375,17.4006,272403424
9/3/2013,17.6107,17.8786,17.4053,17.4493,332100996
9/4/2013,17.8414,17.9371,17.7243,17.8104,345031884
9/5/2013,17.8661,17.8814,17.63,17.6882,236367696
9/6/2013,17.8014,17.835,17.4982,17.7936,359525396
9/9/2013,18.0357,18.14,17.9814,18.0775,340686616
9/10/2013,18.0786,18.1232,17.4821,17.6657,743196004
9/11/2013,16.6789,16.9175,16.6003,16.7039,898694720
9/12/2013,16.7321,16.9786,16.6432,16.8818,404050260
9/13/2013,16.7621,16.851,16.5964,16.6036,298834020
9/16/2013,16.4643,16.486,15.9721,16.0757,548551012
9/17/2013,15.9986,16.4182,15.9821,16.2614,399379488
9/18/2013,16.5421,16.6553,16.4521,16.5957,456861700
9/19/2013,16.8107,16.9939,16.7589,16.8678,404539252
9/20/2013,17.0714,17.0911,16.6428,16.6932,699301816
9/23/2013,17.7178,17.7468,17.2357,17.5228,762107000
9/24/2013,17.6743,17.6953,17.4221,17.4678,364343364
9/25/2013,17.4714,17.4871,17.1939,17.1975,316957040
9/26/2013,17.3571,17.4486,17.2821,17.365,237220940
